,type,lon,lat
76,European restuarant,2.321,48.883
77,Traditional French restaurant,2.321,48.884
78,Indian / Middle Eastern restaurant,2.324,48.883
79,Traditional French restaurant,2.319,48.886
80,Asian restaurant,2.319,48.889
81,Traditional French restaurant,2.32,48.888
82,Traditional French restaurant,2.32,48.887
83,European restuarant,2.354,48.862
84,Traditional French restaurant,2.353,48.863
85,Maghrebian restaurant,2.352,48.863
86,European restuarant,2.351,48.862
87,Asian restaurant,2.352,48.863
88,Indian / Middle Eastern restaurant,2.352,48.862
89,Asian restaurant,2.352,48.862
90,Asian restaurant,2.324,48.833
91,Traditional French restaurant,2.324,48.832
92,European restuarant,2.314,48.826
93,Traditional French restaurant,2.306,48.828
94,Traditional French restaurant,2.314,48.829
95,Maghrebian restaurant,2.314,48.83
96,Traditional French restaurant,2.317,48.829
97,Caribbean restaurant,2.314,48.831
98,Asian restaurant,2.315,48.832
99,Central and South American restuarant,2.382,48.854
100,European restuarant,2.38,48.857
101,Traditional French restaurant,2.38,48.854
102,Traditional French restaurant,2.376,48.853
103,Maghrebian restaurant,2.377,48.854
104,Traditional French restaurant,2.375,48.855
105,Central and South American restuarant,2.372,48.854
106,Traditional French restaurant,2.373,48.854
107,Indian / Middle Eastern restaurant,2.373,48.853
108,Traditional French restaurant,2.374,48.853
109,Asian restaurant,2.373,48.855
110,Traditional French restaurant,2.374,48.853
111,Asian restaurant,2.351,48.839
112,Traditional French restaurant,2.351,48.837
113,Asian restaurant,2.345,48.853
114,Indian / Middle Eastern restaurant,2.345,48.853
115,European restuarant,2.346,48.853
116,European restuarant,2.346,48.853
117,Traditional French restaurant,2.345,48.852
118,Maghrebian restaurant,2.345,48.851
119,Traditional French restaurant,2.345,48.851
120,Traditional French restaurant,2.345,48.852
121,Traditional French restaurant,2.345,48.852
122,Traditional French restaurant,2.345,48.852
123,Traditional French restaurant,2.345,48.852
124,Traditional French restaurant,2.345,48.853
125,European restuarant,2.343,48.854
126,Traditional French restaurant,2.34,48.854
127,European restuarant,2.339,48.854
128,European restuarant,2.34,48.856
129,Asian restaurant,2.34,48.856
130,Asian restaurant,2.34,48.856
131,Indian / Middle Eastern restaurant,2.34,48.856
132,Traditional French restaurant,2.317,48.888
133,European restuarant,2.308,48.883
134,Traditional French restaurant,2.304,48.882
135,Traditional French restaurant,2.299,48.885
136,Asian restaurant,2.354,48.859
137,Asian restaurant,2.349,48.86
138,Maghrebian restaurant,2.35,48.86
139,Indian / Middle Eastern restaurant,2.35,48.859
140,Asian restaurant,2.35,48.859
141,European restuarant,2.351,48.86
142,European restuarant,2.351,48.86
143,Asian restaurant,2.317,48.833
144,Traditional French restaurant,2.318,48.833
145,Other world restaurant,2.321,48.835
146,European restuarant,2.322,48.835
147,European restuarant,2.322,48.835
148,Indian / Middle Eastern restaurant,2.319,48.836
149,Asian restaurant,2.319,48.836
150,European restuarant,2.316,48.833
151,Asian restaurant,2.312,48.826
152,Asian restaurant,2.307,48.828
153,Asian restaurant,2.374,48.855
154,Asian restaurant,2.374,48.856
155,Asian restaurant,2.372,48.855
156,Indian / Middle Eastern restaurant,2.372,48.855
157,Asian restaurant,2.376,48.852
158,European restuarant,2.379,48.853
159,Asian restaurant,2.381,48.851
160,Other world restaurant,2.369,48.861
161,European restuarant,2.365,48.868
162,Traditional French restaurant,2.365,48.868
163,European restuarant,2.338,48.854
164,Traditional French restaurant,2.338,48.855
165,European restuarant,2.338,48.853
166,Traditional French restaurant,2.338,48.854
167,Central and South American restuarant,2.338,48.853
168,Traditional French restaurant,2.339,48.853
169,Traditional French restaurant,2.343,48.853
170,European restuarant,2.343,48.852
171,European restuarant,2.342,48.85
172,Asian restaurant,2.341,48.849
173,Traditional French restaurant,2.34,48.85
174,Traditional French restaurant,2.298,48.886
175,European restuarant,2.307,48.888
176,European restuarant,2.297,48.884
177,European restuarant,2.294,48.885
178,Asian restaurant,2.296,48.885
179,Asian restaurant,2.305,48.889
180,Traditional French restaurant,2.304,48.886
181,Traditional French restaurant,2.307,48.885
182,Asian restaurant,2.31,48.885
183,European restuarant,2.366,48.858
184,Traditional French restaurant,2.361,48.86
185,European restuarant,2.319,48.837
186,Traditional French restaurant,2.318,48.837
187,Asian restaurant,2.304,48.834
188,Traditional French restaurant,2.361,48.89
189,Asian restaurant,2.361,48.891
190,Asian restaurant,2.361,48.891
191,African restaurant,2.362,48.891
192,Asian restaurant,2.363,48.891
193,Asian restaurant,2.361,48.891
194,African restaurant,2.363,48.893
195,Asian restaurant,2.369,48.857
196,European restuarant,2.369,48.855
197,European restuarant,2.371,48.854
198,Traditional French restaurant,2.372,48.857
199,European restuarant,2.373,48.857
200,European restuarant,2.326,48.873
201,Asian restaurant,2.326,48.875
202,Traditional French restaurant,2.326,48.875
203,Traditional French restaurant,2.34,48.849
204,Asian restaurant,2.34,48.849
205,Traditional French restaurant,2.34,48.851
206,Asian restaurant,2.35,48.85
207,Traditional French restaurant,2.35,48.851
208,Traditional French restaurant,2.349,48.845
209,European restuarant,2.349,48.845
210,Traditional French restaurant,2.351,48.851
211,Traditional French restaurant,2.355,48.849
212,Asian restaurant,2.354,48.849
213,Traditional French restaurant,2.35,48.85
214,Traditional French restaurant,2.349,48.846
215,European restuarant,2.349,48.846
216,Traditional French restaurant,2.314,48.882
217,Asian restaurant,2.297,48.887
218,European restuarant,2.319,48.882
219,European restuarant,2.318,48.883
220,Maghrebian restaurant,2.323,48.884
221,Asian restaurant,2.322,48.885
222,Traditional French restaurant,2.323,48.887
223,Asian restaurant,2.322,48.884
224,Traditional French restaurant,2.365,48.849
225,Traditional French restaurant,2.344,48.863
226,Asian restaurant,2.343,48.864
227,Traditional French restaurant,2.344,48.864
228,European restuarant,2.345,48.865
229,Traditional French restaurant,2.371,48.897
230,European restuarant,2.376,48.891
231,Asian restaurant,2.377,48.893
232,Traditional French restaurant,2.346,48.89
233,Traditional French restaurant,2.323,48.872
234,European restuarant,2.324,48.871
235,Traditional French restaurant,2.323,48.87
236,Traditional French restaurant,2.382,48.854
237,Asian restaurant,2.382,48.854
238,Traditional French restaurant,2.383,48.851
239,Central and South American restuarant,2.383,48.851
240,Asian restaurant,2.385,48.852
241,Traditional French restaurant,2.383,48.853
242,European restuarant,2.385,48.853
243,Other world restaurant,2.351,48.846
244,European restuarant,2.352,48.845
245,Asian restaurant,2.353,48.844
246,Traditional French restaurant,2.354,48.844
247,Traditional French restaurant,2.355,48.844
248,European restuarant,2.351,48.841
249,Asian restaurant,2.351,48.841
250,Traditional French restaurant,2.35,48.842
251,European restuarant,2.35,48.842
252,Asian restaurant,2.349,48.844
253,Traditional French restaurant,2.349,48.843
254,Traditional French restaurant,2.349,48.843
255,Traditional French restaurant,2.349,48.843
256,Traditional French restaurant,2.348,48.843
257,Indian / Middle Eastern restaurant,2.348,48.844
258,European restuarant,2.343,48.846
259,Asian restaurant,2.342,48.844
260,European restuarant,2.345,48.841
261,Asian restaurant,2.326,48.884
262,Traditional French restaurant,2.312,48.886
263,Traditional French restaurant,2.312,48.884
